address	data_type	value
0044d410	string	Out of horz slots.\nbFirstPass: %d\nbAlloc: %d  Col1: %d  Col2: %d  Row: %d  SlotCntH: %d  iX: %d\ndwSlotMask[iX]:\n
0044d484	string	%d, %d
0044d48c	string	GATELABELDLG
0044d49c	string	VARNAMEDLG
0044d4a8	string	WIRECURS
0044d4b4	string	ptap %d: {%d, %d}, nID=%d, iTap=%d, iNode=%d\n
0044d4e4	string	\niTapCnt = %d\n
0044d4f4	string	pnode %d: {%d, %d}, iOrient=%d, bSel=%d, nID=%d\n
0044d528	string	Wire: %d\n\niTypeA = %d\niGateA = %d\niGateInA = %d\niWireA = %d\n\niTypeB = %d\niGateB = %d\niGateInB = %d\niWireB = %d\n\niIsOutput = %d\nbBroken = %d\nbRed = %d\nbSelected = %d\n\niNodeCnt = %d\n
0044d5e0	string	Gate %d: iOutWire=%d, iInWire[0]=%d, iInWire[1]=%d
0044d618	string	Wire %d: iIsOutput=%d, iTypeA=%d, iTypeB=%d nodeA = %d, nodeB = %d, iNodeCnt = %d
0044d66c	string	Entered by gate diagram:
0044d688	string	Unknown error: %d, %d
0044d6a0	string	Gate %s: An input is a function of the gate's output. Feedback is not supported.
0044d6f4	string	Input terminal %s is not connected.
0044d718	string	The number of outputs is limited to %d.
0044d740	string	The function must have at least one output.
0044d76c	string	The number of inputs is limited to %d.
0044d794	string	The function must have at least two inputs.
0044d7c0	string	Gate %s: An input has no driving connection.
0044d7f0	string	Gate %s: Output is connected to another output.
0044d820	string	Gate %s: Missing input connection.
0044d844	string	Diagram Error
0044d854	string	Gate %s: Missing output connection.
0044d878	string	Illegal character: '%c'
0044d890	string	Error: Name must begin with a letter.
0044d8b8	string	Error: Name already in use.
0044d8d4	string	Error: Name must contain 1 to %d characters.
0044d904	string	Error: Name must begin with a letter or underscore.
0044d938	string	%s = %d
0044d960	string	U777D
0044d968	string	U666D
0044d970	string	U999B
0044d978	string	U222A
0044d980	string	Courier New
0044d98c	string	RichEdit
0044d998	string	RichEdit20A
0044d9a4	string	SPLITHORZ
0044d9b0	string	SPLITVERT
0044d9bc	string	iNodeCnt = %d
0044d9d0	string	hhctrl.ocx
0044d9e0	string	CLSID\{ADB880A6-D8FF-11CF-9377-00AA003B7A11}\InprocServer32
0044db3c	string	Microsoft Visual C++ Runtime Library
0044db64	string	Program: 
0044db74	string	<program name unknown>
0044db90	string	A buffer overrun has been detected which has corrupted the program's\ninternal state.  The program cannot safely continue execution and must\nnow be terminated.\n
0044dc30	string	Buffer overrun detected!
0044dc50	string	A security error of unknown cause has been detected which has\ncorrupted the program's internal state.  The program cannot safely\ncontinue execution and must now be terminated.\n
0044dd04	string	Unknown security failure detected!
0044ddbe	unicode	null)
0044ddcc	string	(null)
0044df90	string	CorExitProcess
0044dfa0	string	mscoree.dll
0044dfb8	string	e+000
0044dfd6	string	GAIsProcessorFeaturePresent
0044dff4	string	KERNEL32
0044e09c	string	SunMonTueWedThuFriSat
0044e0b4	string	JanFebMarAprMayJunJulAugSepOctNovDec
0044e134	string	runtime error 
0044e148	string	TLOSS error\r\n
0044e158	string	SING error\r\n
0044e168	string	DOMAIN error\r\n
0044e178	string	R6028\r\n- unable to initialize heap\r\n
0044e1a0	string	R6027\r\n- not enough space for lowio initialization\r\n
0044e1d8	string	R6026\r\n- not enough space for stdio initialization\r\n
0044e210	string	R6025\r\n- pure virtual function call\r\n
0044e238	string	R6024\r\n- not enough space for _onexit/atexit table\r\n
0044e270	string	R6019\r\n- unable to open console device\r\n
0044e29c	string	R6018\r\n- unexpected heap error\r\n
0044e2c0	string	R6017\r\n- unexpected multithread lock error\r\n
0044e2f0	string	R6016\r\n- not enough space for thread data\r\n
0044e320	string	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
0044e3b8	string	R6009\r\n- not enough space for environment\r\n
0044e3e4	string	R6008\r\n- not enough space for arguments\r\n
0044e410	string	R6002\r\n- floating point not loaded\r\n
0044e438	string	Runtime Error!\n\nProgram: 
0044e474	string	GetProcessWindowStation
0044e48c	string	GetUserObjectInformationA
0044e4a8	string	GetLastActivePopup
0044e4bc	string	GetActiveWindow
0044e4cc	string	MessageBoxA
0044e4d8	string	user32.dll
0044e924	string	InitializeCriticalSectionAndSpinCount
0044e95c	string	HH:mm:ss
0044e968	string	dddd, MMMM dd, yyyy
0044e97c	string	MM/dd/yy
0044e990	string	December
0044e99c	string	November
0044e9a8	string	October
0044e9b0	string	September
0044e9bc	string	August
0044e9d4	string	April
0044e9dc	string	March
0044e9e4	string	February
0044e9f0	string	January
0044ea28	string	Saturday
0044ea34	string	Friday
0044ea3c	string	Thursday
0044ea48	string	Wednesday
0044ea54	string	Tuesday
0044ea5c	string	Monday
0044ea64	string	Sunday
0044ead4	string	1#QNAN
0044eadc	string	1#INF
0044eae4	string	1#IND
0044eaec	string	1#SNAN
0044eb20	string	RSDS
0044eb38	string	c:\Documents and Settings\Administrator\My Documents\Visual Studio Projects\LogicToolKit\LTK\Release\LTK.pdb
0044f306	TerminatedCString	InitCommonControlsEx
0044f31e	TerminatedCString	ImageList_AddMasked
0044f334	TerminatedCString	ImageList_Create
0044f346	TerminatedCString	COMCTL32.dll
0044f356	TerminatedCString	GetProcAddress
0044f368	TerminatedCString	GetModuleHandleA
0044f37c	TerminatedCString	lstrlenA
0044f388	TerminatedCString	lstrcpynA
0044f394	TerminatedCString	LoadLibraryA
0044f3a4	TerminatedCString	GetTickCount
0044f3b4	TerminatedCString	ResetEvent
0044f3c2	TerminatedCString	CloseHandle
0044f3d0	TerminatedCString	SetEvent
0044f3dc	TerminatedCString	lstrcpyA
0044f3e8	TerminatedCString	Sleep
0044f3f0	TerminatedCString	SetConsoleTitleA
0044f404	TerminatedCString	AllocConsole
0044f414	TerminatedCString	SetHandleInformation
0044f42c	TerminatedCString	CreateEventA
0044f43c	TerminatedCString	GetVersionExA
0044f44c	TerminatedCString	CreateMutexA
0044f45c	TerminatedCString	FreeConsole
0044f46a	TerminatedCString	WaitForSingleObject
0044f480	TerminatedCString	GenerateConsoleCtrlEvent
0044f49c	TerminatedCString	GetExitCodeProcess
0044f4b2	TerminatedCString	WaitForMultipleObjects
0044f4cc	TerminatedCString	CreateProcessA
0044f4de	TerminatedCString	GetStdHandle
0044f4ee	TerminatedCString	GetLastError
0044f4fe	TerminatedCString	CreateFileA
0044f50c	TerminatedCString	SearchPathA
0044f51a	TerminatedCString	GetShortPathNameA
0044f52e	TerminatedCString	FindClose
0044f53a	TerminatedCString	CreateDirectoryA
0044f54e	TerminatedCString	FindFirstFileA
0044f560	TerminatedCString	GetModuleFileNameA
0044f576	TerminatedCString	WinExec
0044f580	TerminatedCString	GetWindowsDirectoryA
0044f598	TerminatedCString	DeleteFileA
0044f5a6	TerminatedCString	GetPrivateProfileIntA
0044f5be	TerminatedCString	GetPrivateProfileStringA
0044f5da	TerminatedCString	GetPrivateProfileStructA
0044f5f6	TerminatedCString	WritePrivateProfileStringA
0044f614	TerminatedCString	WritePrivateProfileStructA
0044f632	TerminatedCString	GlobalUnlock
0044f642	TerminatedCString	GlobalLock
0044f650	TerminatedCString	MulDiv
0044f65a	TerminatedCString	GlobalSize
0044f666	TerminatedCString	KERNEL32.dll
0044f676	TerminatedCString	SendMessageA
0044f686	TerminatedCString	GetClientRect
0044f696	TerminatedCString	CreateWindowExA
0044f6a8	TerminatedCString	CallWindowProcA
0044f6ba	TerminatedCString	GetDlgCtrlID
