entry	name	namespace	is_thunk	calling_convention	parameter_count	return_type
0043f00c	_GetRangeOfTrysToCheck	Global	false	__cdecl	5	_s_TryBlockMapEntry *
0043f086	FUN_0043f086	Global	false	__cdecl	2	undefined4 *
0043f0ae	FUN_0043f0ae	Global	false	__cdecl	1	undefined4
0043f0cf	_FindAndUnlinkFrame	Global	false	__cdecl	1	void
0043f11b	FUN_0043f11b	Global	false	__cdecl	5	undefined4
0043f16c	FUN_0043f16c	Global	false	__cdecl	7	undefined4
0043f21c	__global_unwind2	Global	false	__cdecl	1	undefined
0043f25e	__local_unwind2	Global	false	__cdecl	2	undefined
0043f2c6	__abnormal_termination	Global	false	__cdecl	0	int
0043f2e9	__NLG_Notify1	Global	false	__fastcall	1	undefined
0043f2f2	FUN_0043f2f2	Global	false	__stdcall	0	undefined
0043f30c	FUN_0043f30c	Global	false	__stdcall	0	undefined
0043f32b	_atol	Global	false	__cdecl	1	long
0043f3b3	_atol	Global	true	__cdecl	1	long
0043f3b8	FUN_0043f3b8	Global	false	__cdecl	1	int
0043f3c3	_calloc	Global	false	__cdecl	2	void *
0043f46d	FUN_0043f46d	Global	false	__stdcall	0	undefined
0043f480	_strcmp	Global	false	__cdecl	2	int
0043f510	_strstr	Global	false	__cdecl	2	char *
0043f596	__onexit_lk	Global	false	__stdcall	0	undefined
0043f616	___onexitinit	Global	false	__stdcall	0	undefined4
0043f63e	__onexit	Global	false	__cdecl	1	_onexit_t
0043f670	FUN_0043f670	Global	false	__stdcall	0	undefined
0043f676	_atexit	Global	false	__cdecl	1	int
0043f690	_strncpy	Global	false	__cdecl	3	char *
0043f7b4	__fwrite_lk	Global	false	__cdecl	4	uint
0043f8bb	_fwrite	Global	false	__cdecl	4	size_t
0043f8fd	FUN_0043f8fd	Global	false	__stdcall	0	undefined
0043f907	__stricmp	Global	false	__cdecl	2	int
0043f970	_strrchr	Global	false	__cdecl	2	char *
0043f99d	FUN_0043f99d	Global	false	__cdecl	3	char *
